trip_id,timestamp,rms_0_20hz,smoothed_rms,baseline_ratio,alarm_flag,fault_status,days_since_baseline
1,2026-02-27 11:21:30.393,0.001308834524237864,0.00881415630649605,0.0,0,normal,0
2,2026-02-27 11:21:31.053,0.0012847567747081368,0.008732575912711009,0.0,0,normal,0
3,2026-02-27 11:21:36.863,0.0018877487157073311,0.00873056875596088,0.0,0,normal,0
4,2026-02-27 11:21:38.973,0.001972580645713704,0.009205689155413055,0.0,0,normal,0
5,2026-02-27 11:21:39.593,0.001911107901063378,0.009514198787162288,0.0,0,normal,0
6,2026-02-27 11:21:43.663,0.0018407872669392476,0.009714023097125372,0.0,0,normal,0
7,2026-02-27 11:21:45.553,0.0018103468654619283,0.01009644145415814,0.0,0,normal,0
8,2026-02-27 11:21:52.103,0.0017493686719410753,0.01034192948976614,0.0,0,normal,0
9,2026-02-27 11:21:55.533,0.0016941533311505314,0.010525944164023263,0.0,0,normal,0
10,2026-02-27 11:21:57.823,0.0017315986480117775,0.010678010456399966,0.0,0,normal,0
11,2026-02-27 11:22:03.063,0.001763773370710377,0.010781439515934022,0.0,0,normal,0
12,2026-02-27 11:22:04.553,0.0018170204432720993,0.010937389350203105,0.0,0,normal,0
13,2026-02-27 11:22:04.823,0.0017828396582243165,0.011235013799290329,0.0,0,normal,0
14,2026-02-27 11:22:07.183,0.0017537937265463056,0.01143407364405789,0.0,0,normal,0
15,2026-02-27 11:22:12.243,0.001759818189303524,0.011592243574946981,0.0,0,normal,0
16,2026-02-27 11:22:12.773,0.0017303931893686854,0.011676772203462076,0.0,0,normal,0
17,2026-02-27 11:22:14.083,0.001699281239233276,0.011911310067176736,0.0,0,normal,0
18,2026-02-27 11:22:17.033,0.0018414487905195637,0.012095309826989437,0.0,0,normal,0
19,2026-02-27 11:22:17.153,0.0019502576588869402,0.01232545210892872,0.0,0,normal,0
20,2026-02-27 11:22:19.913,0.0019146677961762004,0.012470596722574615,0.0,0,normal,0
21,2026-02-27 11:22:21.673,0.0018955829225700876,0.012560111277218008,0.0,0,normal,0
22,2026-02-27 11:22:22.973,0.0018631319313756358,0.012621841098653594,0.0,0,normal,0
23,2026-02-27 11:22:24.103,0.0018323461543089787,0.012636312572540729,0.0,0,normal,0
24,2026-02-27 11:22:26.493,0.0018151091334546734,0.012613502529064744,0.0,0,normal,0
25,2026-02-27 11:22:27.983,0.0018248333911481845,0.012566726397392454,0.0,0,normal,0
26,2026-02-27 11:22:30.463,0.0017978970298022136,0.012495043117279125,0.0,0,normal,0
27,2026-02-27 11:22:31.713,0.0018119582132508098,0.012416630491541446,0.0,0,normal,0
28,2026-02-27 11:22:32.723,0.0018625716403645328,0.012334995240950414,0.0,0,normal,0
29,2026-02-27 11:22:36.033,0.0019247006754030205,0.012284622578971812,0.0,0,normal,0
30,2026-02-27 11:22:41.033,0.0019125457743569964,0.012249624852126821,0.0,0,normal,0
31,2026-02-27 11:22:46.503,0.001900817497403183,0.012196918073812908,0.0,0,normal,0
32,2026-02-27 11:22:47.463,0.0018762908872030604,0.012161523012809747,0.0,0,normal,0
33,2026-02-27 11:22:49.933,0.0018807055260361112,0.012112096175719662,0.0,0,normal,0
34,2026-02-27 11:22:50.073,0.0021349672495822314,0.012127221473382084,0.0,0,normal,0
35,2026-02-27 11:22:56.363,0.0021182780417707274,0.012194355064239468,0.0,0,normal,0
36,2026-02-27 11:22:57.563,0.0021100463321557412,0.012228217699470786,0.0,0,normal,0
37,2026-02-27 11:22:59.593,0.0021114786722989214,0.012237138906676541,0.0,0,normal,0
38,2026-02-27 11:23:04.554,0.0020903261189813083,0.012229358183559177,0.0,0,normal,0
39,2026-02-27 11:23:06.284,0.0021159786364377997,0.012211802453024969,0.0,0,normal,0
40,2026-02-27 11:23:08.274,0.0021059650659604103,0.012198069788528092,0.0,0,normal,0
41,2026-02-27 11:23:08.554,0.002084820411030316,0.012310875213834921,0.0,0,normal,0
42,2026-02-27 11:23:09.584,0.0021136796167485175,0.012399365135789955,0.0,0,normal,0
43,2026-02-27 11:23:11.044,0.002136758386149733,0.012456891336654657,0.0,0,normal,0
44,2026-02-27 11:23:13.794,0.0021202295313072217,0.012482653928352393,0.0,0,normal,0
45,2026-02-27 11:23:14.504,0.0021100738364222523,0.012538048770775006,0.0,0,normal,0
46,2026-02-27 11:23:26.384,0.0021301401481943036,0.012602051964001913,0.0,0,normal,0
47,2026-02-27 11:23:35.514,0.002114257288975489,0.012643179572700988,0.0,0,normal,0
48,2026-02-27 11:23:35.864,0.0021611608944652255,0.012740379993057686,0.0,0,normal,0
49,2026-02-27 11:23:37.324,0.0021516435182316446,0.01283682421889412,0.0,0,normal,0
50,2026-02-27 11:23:50.474,0.00213615762251769,0.012927525305261265,0.0,0,normal,0
51,2026-02-27 11:23:51.144,0.002121997062170483,0.013038669609768311,0.0,0,normal,0
52,2026-02-27 11:23:51.974,0.0021502050999050127,0.01311917998987502,0.0,0,normal,0
53,2026-02-27 11:23:54.254,0.00213301985279752,0.013166733933299216,0.0,0,normal,0
54,2026-02-27 11:23:58.694,0.002116244946337238,0.013190831022225253,0.0,0,normal,0
55,2026-02-27 11:23:58.924,0.0021022976928775305,0.013211772561404923,0.0,0,normal,0
56,2026-02-27 11:23:59.844,0.002108667587524272,0.0132181227461323,0.0,0,normal,0
57,2026-02-27 11:24:01.644,0.002099340488144364,0.013301946573514373,0.0,0,normal,0
58,2026-02-27 11:24:05.584,0.002097089776167058,0.013374091685610118,0.0,0,normal,0
59,2026-02-27 11:24:07.134,0.0020945760292365237,0.013443160390780301,0.0,0,normal,0
60,2026-02-27 11:24:08.134,0.0020826658434980293,0.01353768123554537,0.0,0,normal,0
61,2026-02-27 11:24:12.094,0.0020672955907812714,0.013612667536429696,0.0,0,normal,0
62,2026-02-27 11:24:14.184,0.0020522610573758273,0.013658941965991541,0.0,0,normal,0
63,2026-02-27 11:24:15.164,0.0020779009924690797,0.013704265434844102,0.0,0,normal,0
64,2026-02-27 11:24:17.394,0.002075341446513522,0.013735180314868463,0.0,0,normal,0
